id,category
5639,International_Finance
2673,Earning_Reports
2056,Commodities
3455,Economy
4406,Fraud
2959,Economy
7147,Mergers_Acquisitions
8884,Policy
5006,Fraud
9589,Policy
4745,Fraud
2421,Earning_Reports
2919,Earning_Reports
2080,Commodities
2640,Earning_Reports
8351,Oil
8769,International_Finance
545,Capital
7424,Mergers_Acquisitions
6558,Litigation
785,Capital
6709,Litigation
4514,Fraud
5629,Economy
835,Capital
7635,Mergers_Acquisitions
1665,Commodities
6358,Litigation
3538,Economy
2083,Commodities
5127,International_Finance
1632,Commodities
8651,Policy
972,Capital
8164,Oil
816,Capital
1068,Capital
5184,International_Finance
9183,Policy
9987,Real_Estate
8024,Oil
6312,Litigation
1728,Commodities
1357,Commodities
4194,Economy
7196,Mergers_Acquisitions
6785,Litigation
9110,Policy
4483,Fraud
9873,Real_Estate
4989,Fraud
8424,Oil
8226,Oil
2399,Earning_Reports
3873,Economy
4954,Fraud
9747,Policy
2949,Economy
6174,Litigation
8135,Oil
1522,Commodities
6201,Litigation
5208,International_Finance
1788,Commodities
2592,Earning_Reports
3000,Economy
8322,Oil
875,Mergers_Acquisitions
3038,Economy
68,Capital
8400,Oil
7250,Mergers_Acquisitions
1017,Capital
9706,Real_Estate
6741,Litigation
5524,International_Finance
1145,Commodities
8124,Oil
412,Capital
1259,Commodities
4667,Fraud
5308,International_Finance
8539,Policy
4788,Fraud
4830,Fraud
6948,Mergers_Acquisitions
2496,Earning_Reports
5035,Fraud
396,Capital
6426,Litigation
10042,Real_Estate
5927,International_Finance
1579,Commodities
9144,Policy
2498,Earning_Reports
5197,International_Finance
5969,International_Finance
4960,Fraud
7182,Mergers_Acquisitions
8802,Policy
819,Mergers_Acquisitions
3516,Policy
5365,International_Finance
449,Capital
2545,Earning_Reports
1753,Commodities
353,Capital
760,Capital
6960,Mergers_Acquisitions
2321,Earning_Reports
5930,International_Finance
9025,Policy
6661,Litigation
9493,Policy
6541,Litigation
7298,Mergers_Acquisitions
4751,Fraud
9086,Policy
2059,Commodities
6096,International_Finance
3553,Economy
7918,Oil
3308,Economy
9424,Policy
1205,Commodities
2227,Oil
7581,Mergers_Acquisitions
4622,Fraud
344,Capital
922,Capital
5049,Fraud
7965,Oil
10028,Real_Estate
8224,Oil
5300,Economy
9088,Earning_Reports
7141,Mergers_Acquisitions
9573,Policy
2556,Earning_Reports
6157,Litigation
2402,Earning_Reports
5487,International_Finance
8118,Commodities
6103,International_Finance
823,Real_Estate
2597,Earning_Reports
6311,Litigation
5012,Fraud
5108,International_Finance
8261,Oil
1868,Commodities
2030,Commodities
2077,Commodities
111,Capital
834,Capital
6388,Litigation
9300,Policy
8451,Oil
7347,Mergers_Acquisitions
8454,Oil
894,Capital
1709,Commodities
8948,Policy
5857,International_Finance
7565,Mergers_Acquisitions
7784,Oil
8362,Oil
5450,International_Finance
9982,Real_Estate
7841,Oil
2189,Earning_Reports
8494,Oil
8995,Policy
3645,Economy
1927,Commodities
1679,Commodities
2974,Economy
441,Capital
710,Capital
9733,Real_Estate
8095,Oil
608,Capital
5475,International_Finance
1932,Commodities
4649,Fraud
8973,Policy
4896,Fraud
7907,Oil
7012,Mergers_Acquisitions
9243,Policy
3896,Economy
3152,Economy
2951,Economy
1882,Commodities
3731,Economy
3248,Economy
6637,Litigation
3689,Economy
8968,Policy
7228,Mergers_Acquisitions
9655,Policy
5683,International_Finance
8859,Policy
7399,Mergers_Acquisitions
4388,Fraud
178,Capital
7926,Oil
5134,International_Finance
7854,Oil
150,Capital
8309,Oil
8943,Policy
8141,Oil
715,Capital
9837,Real_Estate
6419,Litigation
4535,Fraud
661,Capital
4370,Fraud
6163,Litigation
9678,Real_Estate
1863,Commodities
7530,Mergers_Acquisitions
4721,Fraud
6436,Litigation
7502,Mergers_Acquisitions
7624,Mergers_Acquisitions
4443,Fraud
5323,International_Finance
8486,Oil
640,Capital
7161,Mergers_Acquisitions
5496,International_Finance
8281,Oil
9307,Policy
6070,International_Finance
8061,Oil
6137,International_Finance
5132,Commodities
6779,Litigation
6465,Litigation
9629,Policy
9578,Policy
2838,Earning_Reports
5607,International_Finance
4638,Fraud
1815,Commodities
9228,Policy
3240,Economy
7357,Mergers_Acquisitions
8809,Policy
8116,Oil
7692,Oil
8610,Policy
1473,Commodities
3046,Economy
8012,Oil
328,Capital
3487,Economy
5646,International_Finance
